name, slug, country, ambiguous, website_url, myspace_url, twitter_url, facebook_url, youtube_url
The Gates of Slumber,the-gates-of-slumber,us,0,None,http://www.myspace.com/thegatesofslumber,http://twitter.com/gatesofslumber,http://www.facebook.com/pages/The-Gates-of-Slumber/27572213511,None
The Great Collapse,the-great-collapse,ca,1,None,http://www.myspace.com/thegreatcollapse,None,http://www.facebook.com/pages/THE-GREAT-COLLAPSE/124252471002,None
The Interbeing,the-interbeing,dk,0,None,http://www.myspace.com/theinterbeing,http://twitter.com/TheInterbeing,http://www.facebook.com/pages/The-Interbeing/46020808360,http://www.youtube.com/user/THEINTERBEING
The Knife,the-knife,se,1,None,http://www.myspace.com/theknife,http://twitter.com/theknifenews,http://www.facebook.com/pages/The-Knife/6302311298,None
The Mars Volta,the-mars-volta,us,0,None,http://www.myspace.com/themarsvolta,http://twitter.com/theMarsVolta,http://www.facebook.com/TheMarsVolta,None
The Prodigy,the-prodigy,uk,0,None,http://www.myspace.com/theprodigy,http://twitter.com/THE_PRODIGY,http://www.facebook.com/pages/The-Prodigy/18452288248,http://www.youtube.com/user/ProdigyChannel
The Red Chord,the-red-chord,us,0,None,http://www.myspace.com/theredchord,http://twitter.com/theRedChord,http://www.facebook.com/pages/The-Red-Chord/25334253573,None
The Sword,the-sword,us,1,None,http://www.myspace.com/thesword,http://twitter.com/Thesword,None,None
Therion,therion,se,0,None,http://www.myspace.com/therion,None,http://www.facebook.com/pages/Therion/6810453602,http://www.youtube.com/user/therionband
Threat Signal,threat-signal,ca,0,None,http://www.myspace.com/threatsignal,http://twitter.com/Threat_signal,http://www.facebook.com/threatsignal,http://www.youtube.com/user/threatsignal
Thunderstone,thunderstone,fi,0,None,http://www.myspace.com/thunderstonemetal,None,http://www.facebook.com/pages/THUNDERSTONE-OFFICIAL/142811818326,None
Tony Danza Tapdance Extravaganza,tony-danza-tapdance-extravaganza,us,0,None,http://www.myspace.com/tonydanzatapdanceextravaganza,None,http://www.facebook.com/pages/The-Tony-Danza-Tapdance-Extravaganza/69393437752,None
Tool,tool,us,1,None,http://www.myspace.com/tool,None,http://www.facebook.com/pages/Official-TOOL-band-page/175790620862,None
Torche,torche,us,1,None,http://www.myspace.com/torche,None,http://www.facebook.com/pages/Torche/22953310771,None
Twisted Into Form,twisted-into-form,no,0,None,http://www.myspace.com/officialtwistedintoform,None,None,None
Ulcerate,ulcerate,nz,0,None,http://www.myspace.com/ulcerate,None,None,None
Ulver,ulver,no,0,None,http://www.myspace.com/ulver1,None,http://www.facebook.com/pages/Ulver/31166220421,None
Unexpect,unexpect,ca,1,None,http://www.myspace.com/unexpect,http://twitter.com/Unexpect_Band,None,None
Vader,vader,pl,1,None,http://www.myspace.com/panzervader,None,http://www.facebook.com/pages/Vader/95560809516,http://www.youtube.com/panzervader
Veil of Maya,veil-of-maya,us,0,None,http://www.myspace.com/veilofmaya,http://twitter.com/VeilofMayaband,http://www.facebook.com/veilofmaya,None
Venetian Snares,venetian-snares,ca,0,None,http://www.myspace.com/venetiansnares,None,http://www.facebook.com/pages/venetian-snares/42055903393,None
Vintersorg,vintersorg,se,0,None,http://www.myspace.com/vintersorganic,None,http://www.facebook.com/pages/Vintersorg/32408139721,None
Vision of Disorder,vision-of-disorder,us,0,None,http://www.myspace.com/visionofdisorder,http://twitter.com/vodhardcore,http://www.facebook.com/pages/Vision-Of-Disorder-VOD/60934025822,None
Vortice,vortice,es,1,None,http://www.myspace.com/vorticerocks,None,None,None
Watchtower,watchtower,us,1,None,http://www.myspace.com/watchtowermetal,None,None,None
Yakuza,yakuza,us,1,None,http://www.myspace.com/yakuza,http://twitter.com/yakuzadojo,http://www.facebook.com/pages/yakuza/55268044860,None
